2026-05-11 08:57:53 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\grouping.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:09:27 INFO  TC004_Checkout_Validation:15 - Starting TC004_Checkout_Validation
2026-05-11 10:16:00 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\crossbrowsertesting.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:16:00 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\crossbrowsertesting.xml

2026-05-11 10:16:05 INFO  TC001_AccountRegistrationTest:17 - *** Starting TC001_AccountRegistrationTest ***
2026-05-11 10:16:05 INFO  TC001_AccountRegistrationTest:20 - Clicking My Account
2026-05-11 10:16:05 INFO  TC001_AccountRegistrationTest:22 - Clicking Register
2026-05-11 10:16:07 INFO  TC001_AccountRegistrationTest:27 - Providing Customer Details
2026-05-11 10:16:09 INFO  TC001_AccountRegistrationTest:36 - Clicking CheckBox and Button
2026-05-11 10:16:10 INFO  TC001_AccountRegistrationTest:17 - *** Starting TC001_AccountRegistrationTest ***
2026-05-11 10:16:10 INFO  TC001_AccountRegistrationTest:20 - Clicking My Account
2026-05-11 10:16:10 INFO  TC001_AccountRegistrationTest:22 - Clicking Register
2026-05-11 10:16:11 INFO  TC001_AccountRegistrationTest:57 - *** Finished TC001_AccountRegistrationTest ***
2026-05-11 10:16:11 INFO  TC001_AccountRegistrationTest:27 - Providing Customer Details
2026-05-11 10:17:36 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\master.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:17:37 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\master.xml

2026-05-11 10:17:43 INFO  TC002_LoginTest:16 - ***Starting TC002_Verify_Login***
2026-05-11 10:17:46 INFO  TC002_LoginTest:44 - ***Finished TC002_Verify_Login***
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 4 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 4 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Running:
  C:\Users\2477209\AppData\Local\Temp\testng-eclipse--1575076895\testng-customsuite.xml

2026-05-11 10:44:43 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 4 ms.
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.jq.Main@45e37a7e: 121 ms
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.FailedReporter@72758afa: 27 ms
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.XMLReporter@52045dbe: 21 ms
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@2cae1042: 13 ms
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@4febb875: 10 ms
2026-05-11 10:44:43 INFO  Utils:112 - [TestNG] Time taken by org.testng.internal.ExitCodeListener@25e2a451: 0 ms
2026-05-11 10:45:11 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\master.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:45:11 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\master.xml

